Difficulty,Puzzle
3.84,[    o o  o    o o  o   oo    o          o  o  o ]
3.84,[oo  o  o     o  o          o  o  o  o      o   o]
3.84,[  o        oo oo ooo           o o          o  o]
3.84,[     o   o  o   o o  o   o     o o    o    o   o]
3.84,[ o oo  o     o  o       o  o   o  o o          o]
3.84,[   o  o o   o oo            o    o  o  oo  o    ]
3.84,[ o       o o  o o  o  o    o      o   oo     o  ]
3.84,[ o         oo    o     o  ooo o          oo    o]
3.84,[  o   o  oo    o     o o o  o   o    o    o     ]
3.84,[o  oo o            o o        o oo   o o  o     ]
3.84,[o  oo o      o  o      o o o           o  oo    ]
3.84,[  o    o  oo  o o            oo      o  o  o   o]
3.84,[ o    o  oo    o     o     o  oo        o o  o  ]
3.84,[oo  o o              oo    o    o   oo     o  o ]
3.84,[ o o  o  o    o      o        o  oo  o  o    o  ]
3.84,[o   o o  o    o           o o   o o   o  o    o ]
3.84,[ o   o  o o o         o  o o   o           oo  o]
3.84,[   o  o o  oo        o   o        o   o   o  oo ]
3.86,[o  o o  o     o      o        o o ooo  o        ]
3.86,[ oo  o    o      o    oo     o          o  oo o ]
3.86,[  oo o         o  o     o   o  o    o    o o o  ]
3.86,[o o   o        oo   o o  o         o   o  o   o ]
3.86,[ o     o   o  o  o   o o         o ooo    o     ]
3.86,[ o   o    o o   o o   oo              o o   o o ]
3.86,[   oo  o o o         o  o    o      o     oo  o ]
3.86,[     o oo o    o oo     o   o       o      o  o ]
3.86,[o   o    o o        o o o o         oo o o      ]
3.88,[  o  o     o     o o  o     oo oo     o  o      ]
3.89,[ o     o      o     o o  oo      o       o o  oo]
3.89,[ o            oo o  o  oo   o       o    o   o o]
3.89,[    o     o    oo o     o    ooo   oo        o  ]
3.89,[o      o    o   o o        o  o      o ooo   o  ]
3.89,[ o       o  oo  o   o   o  o  o           o o  o]
3.89,[     o  o     o  o    o   o   o o  oo   o    o  ]
3.89,[o         o oo       o  oo    oo  o     o    o  ]
3.89,[ o     o   o         o o  o  o   o    ooo  o    ]
3.89,[    o  o ooo          ooo o o        o  o       ]
3.89,[o   o    o o   o   o o     o     oo o         o ]
3.89,[   oo o o     o     o     oo          o   o o  o]
3.89,[ o   o  o  o          oo  oo    o  o         o o]
3.89,[   o    oo  o  o      o o  o  o            ooo  ]
3.89,[ o  o  oo         o oo           oo o   o      o]
3.89,[          oo   oo o o o         o  o   o    o  o]
3.89,[   o o  oo    o      o       oo  o      o  o o  ]
3.89,[o         ooo  o        o   oo o  oo        o   ]
3.89,[  o        ooo   oo    o             oo  o o   o]
3.89,[   o   o o    o  o      o  o       oo o  o     o]
3.89,[  o       o o o  oo  o        o o o        o   o]
3.89,[        oo  o oo  o  o   o         oo      o  o ]
3.89,[ o   o         oo o      o o  oo   oo          o]
3.89,[   o o  o  o      o        o  oo o  o o o       ]
3.89,[  o     o  o  oo         o o   o        oo  o  o]
3.89,[o o    o  o   o       o   o o   o o   oo        ]
3.89,[ o         ooo   o   o         o oo        ooo  ]
3.89,[ o    o o o   o      o  o       o  oo o       o ]
3.89,[      o ooo    o    o o     o      o     o o o  ]
3.89,[  o  oo       o  o o    o        o    o  o  o o ]
3.89,[o   o   o    o o  o        o  o o o          o o]
3.89,[ o o  o               o o o  o   o oo  oo       ]
3.89,[o       o  oo  o  o    o o      o     oo     o  ]
3.89,[  o        ooo o         o  o     o o  oo      o]
3.89,[o  o o o     o   o      o       o o  o o    o   ]
3.89,[o o o           o   o  o    oo o        o  oo   ]
3.89,[     o oo     o    o o  oo            o o   o o ]
3.89,[ o  o     ooo o  o             o     o  o o  o  ]
3.91,[   o      o   o      o o o  o         o  oo o  o]
3.91,[    o o    o     o       o o   o   oooo   o     ]
3.91,[  o o            o    oo   o      ooo o o      o]
3.92,[  o  o    o o        o oo o  o    o o  o        ]
3.94,[ o   o     o       o   o  oo     o   o   o  oo  ]
3.94,[  oo         o o   o  o  o       o   o oo    o  ]
3.94,[o  o o       o    o    o   o  o  o o o o        ]
3.94,[ o    o o      o oo        o o    o   oo     o  ]
3.94,[ o   o  o   oo        o          oo    oo  o  o ]
3.94,[ o  o  o o        o o      o  o oo  o          o]
3.94,[ o         ooo      o  oo o o o   o       o     ]
3.94,[ o o  o  o  o         o   o  o    o oo  o       ]
3.94,[   o   oooo    o          o oo    o    oo       ]
3.94,[     o   o oo    o           o oo  oo      o o  ]
3.94,[  o     o  o  o     o  oo      o   o      o o o ]
3.94,[ o     o      o   o o  o o   o  o oo   o        ]
3.94,[ o  o  oo   o             o    oo o  o      o o ]
3.94,[  o        o  ooo  o o    o     o    ooo        ]
3.94,[ooo   o            o    o o   o    ooo o        ]
3.94,[   ooo   o         o    o  o   o   o o  o     o ]
3.94,[   o    o    o     o o o oo          o    oo o  ]
3.94,[o  o  o          o   oo   oo o  o    o      o   ]
3.94,[     o  o  oo     o     oo    oo  o o       o   ]
3.95,[   o         o o oo oo   o      o   o    o    o ]
3.95,[  o        oo o  oo  o     o      o    o o  o   ]
3.95,[o      oo ooo               ooo  o       o    o ]
3.96,[ o  o  o o      o o    o   oo  oo     o         ]
3.96,[ o    o   o      o       o o   oo  oo o        o]
3.96,[o        o oo  oo   o o       o    o     o  o   ]
3.96,[  o  o        o o  o  o   o o   oo   o    o     ]
3.96,[ o    o o   o    oo          o    oo o   o     o]
3.96,[ o oo  o        o o   o   o             o  o  oo]
3.96,[o      o   o o  o o            o  o o   o  o o  ]
3.96,[  o oo   o  o    o   o     o   o   o     o    o ]
3.96,[o     o     o   o o   o    o     o o o  o     o ]
3.96,[     o   o oo      o o     o   oo o        o   o]
3.96,[o o         o  o o  oo  o      o   o       o  o ]
3.96,[o   o o       o  o    o   o o    o o   o  o     ]
3.96,[       o   oo o o    o   oo    o   o     o     o]
3.96,[   o      o  o o       ooo  o      o oo o       ]
3.96,[     o  oo   o  o      o   o o       oo o   o   ]
3.96,[oo  o o      o       o   oo         o  o   o   o]
3.96,[o        o o  o        o oo  oo     o   o     o ]
3.96,[      o    oo   o oo  o        o  o   o o     o ]
3.96,[   o   o       oo  oo    o             o o oo o ]
3.96,[ o   oo   o   o            oo    o o   o o   o  ]
3.96,[ o oo  o        o   oo  o  o  o  o            o ]
3.96,[ oo         o    o    o     oo o     o  o  o o  ]
3.96,[    o     o o     o  o o o       o    oo o   o  ]
3.96,[ o        o o  oo  o  o o          o  o    o o  ]
3.96,[ o   o  o      o o       oo  oo           o  oo ]
3.96,[   o oo        oo o     o  o o   o       o     o]
3.96,[ o  o      o   o      o o o  o   o     oo      o]
3.96,[ o      o  oo  o o   o     o    o  o  o        o]
3.96,[  o o    o  o     o   o  o o   o  o  o       o  ]
3.96,[  o o o   o      o     o    o    oo   o     oo  ]
3.96,[       o  oo o      o   oo o o      o       o  o]
3.96,[ o   oo     o o     o    o       o  o  o o   o  ]
3.96,[       o o  o o o o  o       o   o     o   o o  ]
3.98,[o   o  o   o        o   o oo   o  o  o     o    ]
3.98,[o     o          o o o  o   o  o o   oo     o   ]
3.98,[ o   o     o o      o    oo    o        o o oo  ]
3.98,[   o     o   o     o o oo o         o     oo  o ]
3.99,[    o o   o     o   oo  o     o  o    o    o  o ]
3.99,[      o   o   o o  o       ooo  o  o          oo]
3.99,[  o     o     ooo    o      o o o o      o    o ]
4.00,[   o      o  o o o    o    o   oo  o o      o   ]
4.01,[o    oo        oo oo           oo   o o      o  ]
4.01,[   o o  oo     o   o    o    o o     o    o o   ]
4.01,[ o  o    o  o   o   o  o      o o    o      o  o]
4.01,[ o     o   o     oo    oo    o   o  o o      o  ]
4.01,[     o  o o o      o      o  o o     o  o o o   ]
4.02,[o   o  oo         o      o o   o    oo  o      o]
4.02,[ o       o     o   oo oo         oo      o o o  ]
4.02,[       o   oooo o        oo        oo      o  o ]
4.02,[ o o    o   o  oo     o   o        oo    o     o]
4.02,[   o  o   o  o     oo   o    o   o   o   o   o  ]
4.02,[  o      o    oo    o o  o  o         o o   o  o]
4.02,[   oo   o     o      o    o  oo     o    o o o  ]
4.02,[o      o  o o               oooo o       o o o  ]
4.02,[o   o o   o   o    o      o     oo  ooo         ]
4.02,[     o    o    o   o    ooo    o    o   o    o o]
4.02,[   o o     o  o o  o        o o  o   o  o o     ]
4.02,[ oo o  o      o o   o        oo oo            o ]
4.02,[o         oo   o  o o        o o o      o o    o]
4.02,[  ooo          oo   o             oooo  o      o]
4.02,[o      o o   oo  o       oo  o       o o   o    ]
4.02,[ o o     o   o o  o  o          o    oo  o     o]
4.02,[   o o     o  o o        o    o  o  o  o o o    ]
4.02,[  o oo  o        o  o o     o  o oo  o          ]
4.02,[  o    oo       o    o o    o     oo    o     oo]
4.02,[o o o  o    o   o   o           o   o      o o o]
4.02,[ o o   o o        o  o   o     o  oo  o       o ]
4.02,[    o  oo         oo  o o         o o  o   oo   ]
4.02,[  o o         o oo     o  oo  o o           oo  ]
4.02,[       o  oo  o o        o    oo o   o   o o    ]
4.02,[   o  o    oo   oo          oo  o  o   o     o  ]
4.02,[  o        oo  o   o    o  o o  o     oo o      ]
4.02,[    o  o oo   o     o       o o  o   o   o  o   ]
4.02,[ o o  oo          o  o     o   ooo  oo          ]
4.02,[ o       o   o    o o        o o  o o  oo o     ]
4.02,[  o oo     o     oo    o    o o o        o  o   ]
4.02,[ o   o o o          o         o o  o     o o oo ]
4.02,[o o         o  o     o  o  o  o    o       oo  o]
4.03,[       oooo o o       o            o o  o  o o  ]
4.03,[ o     oo   o  o  o      oo o        o   o    o ]
4.03,[ o   o   o          o o    o o o o o o    o     ]
4.03,[oo    o     o  o   o      o o  o         o oo   ]
4.03,[o  o o       o   o   o o o   o  o  o  o         ]
4.03,[o  o  o       o     o      o o   o       oo o o ]
4.03,[         o  oo oo o o         o o o        o   o]
4.03,[ o  o      o     o o  o    o o o   o o    o     ]
4.03,[   o    o   o       o o      oo ooo o         o ]
4.03,[   o      o   o    o   oo   o o    o     o  oo  ]
4.03,[        oo     o o  o  o   o o  o  o  o      o  ]
4.06,[ o         oo      o   o   o oo oo    o      o  ]
4.06,[ o   oo           o    o  o  o  o   o    o o   o]
4.06,[  o    o  o      o  ooo    o  o         o  o o  ]
4.06,[o         o  oooo o          o    o     o     oo]
4.06,[ o    o  o    o    oo o     o   oo        o  o  ]
4.06,[o     o  o o       o o o        ooo    o      o ]
4.06,[  o   o  o         ooo o oo        o  o   o     ]
4.06,[  o     o   o  o     o o  o  o      oo  o o     ]
4.06,[  o o      o   oo o       o   ooo  o o          ]
4.06,[o o o o    o           oo    oo  o       o   o  ]
4.06,[o   o o          o  o     o   o  o    o   o o  o]
4.06,[   o    o    ooo        o oo         o o oo     ]
4.06,[   o      o  o  o  oo o        o o  o   o     o ]
4.06,[     o    oo    o    oo  o    o  o  o  o   o    ]
4.06,[o      o  o o o           oo o oo o           o ]
4.06,[o   o    o   o         oo   o  o  o  o     o   o]
4.06,[o      o o    o     o  o oo            oo  o o  ]
4.06,[  o o o     o  o  o       oo    o    o o o      ]
4.07,[    oo    oo   o       oooo o             o   o ]
4.07,[  o  o        oo o       oo         oo  o   o o ]
4.07,[o      o   o o  o o  o        o   oo      o o   ]
4.07,[o     o  o    o   o    o  o  o   o       o o   o]
4.07,[     o   o o  o o o    o  o          oo  o  o   ]
4.07,[       o o o  o oo   o    o           o  o  oo  ]
4.07,[  o o  o        o o  o  o  o    o    o     o   o]
4.07,[   o    o o o  o             o    o    oo o o  o]
4.08,[o  o           o  o oo     o  o o       o   o o ]
4.09,[  oo   o     o   o   oo o        o  oo        o ]
4.09,[o  o   o o   o        ooo o        o o      o   ]
4.09,[  o o    o   o     oo o       o  o   o   o     o]
4.09,[    o  o  o   o  o  oo          o o  o     o o  ]
4.09,[ o  o o   o    o     o  o          oo  o   o   o]
4.09,[o      o   o       o  o o o oo          o  o o  ]
4.09,[ o  o o   o    o     o      o      o o  o o  o  ]
4.09,[     o o  oo       o    oo o   o  o o       o   ]
4.09,[   o   o oo  o    o          o   o o    o   o o ]
4.09,[  o o   o   o  o o                o o    oo  o o]
4.09,[ o     o      o o  o o  o o   o      o     o  o ]
4.09,[ o o      o    o oo          oo o  o o      o   ]
4.09,[  o o o   o      o o          o  o   o  o   o  o]
4.09,[  o o      o o o  o           o  o   o    oo o  ]
4.09,[  o o o  o    o     o      o  o  o  oo   o      ]
4.09,[  o  o o   o  o   o      oo        o o   o     o]
4.11,[o        o oo o       o    o    o    oo  o  o   ]
4.11,[    o o      oo o  o     oo          o   o o   o]
4.11,[  o o o     o    oo            oo o   o    o o  ]
4.11,[ o     o    o    o        ooo o  o    o o     o ]
4.11,[     oo   o   o    o o  ooo            o  o   o ]
4.11,[  oo  o           o o        o oo    o   o  o o ]
4.11,[       o  o o   oo   o o  o    oo         o  o  ]
4.11,[ o o          ooo     o   o    o  o  o     oo   ]
4.11,[  o    o   o    o oo  oo    o   o      o    o   ]
4.11,[   o   o   o o  o o     o          oooo       o ]
4.11,[    o o    o     oo     o     oo        oo  o o ]
4.11,[  o o  o o      o o        o  o   o o    o     o]
4.11,[ o   o  o o   o   o    o   o     o  oo   o      ]
4.13,[ o o   o        o   o oo o o           o o    o ]
4.14,[ o    o     o    oo o o        o o     oo    o  ]
4.14,[    oo    o  o   o            o   o   o o o o o ]
4.14,[  o  o  o   o             o   oo  oo  o o   o   ]
4.14,[       oo o   o       o   oo  o  o      o  o o  ]
4.14,[       oo   o  o    o    oo o   o o    o       o]
4.14,[o          o o     o  oo o        o  o o  o o   ]
4.14,[ o o     oo    o          o  oo      o oo  o    ]
4.14,[o     ooo  o      o  o      o          o o o  o ]
4.14,[       oo  oo    o     o  oo        o    o o   o]
4.14,[ o   o o         oooo         o       o o o    o]
4.14,[ o oo   o      o   o        o   oo o         oo ]
4.14,[  o  o          o o   ooo o      o o o o        ]
4.14,[o   o  o        o o          o oo  o    o   o  o]
4.14,[   o o           o    o o  oo   o o  o o    o   ]
4.14,[ o     o      o  o o    o     oo         o ooo  ]
4.14,[o            o o  oo o  o   o   o        o  o o ]
4.14,[o        o o  oo    o     o   o  o    o  o     o]
4.14,[o o    o    o  oo   o      o       o o    o   o ]
4.14,[o   o o  o         o   o oo  o            oo   o]
4.14,[ oo   o   o   o        oo o o      o o      o   ]
4.14,[o  o          oo  o   o oo         oo      o   o]
4.14,[o      o  o      oo o o      o   o  o o        o]
4.14,[o          o  ooo    o      o o  o o      o   o ]
4.14,[o    o o  o      o o      o  o o o  oo          ]
4.14,[  o       o    o    o o oo   o   o     o   o   o]
4.14,[  o  o    o o    o           ooo o o    o    o  ]
4.14,[o  o         o oo o  o           o  o o   o    o]
4.14,[     o    o o  o o      o  o  o      o   o oo   ]
4.14,[ o  o   o  o o        oo    o    o     oo o     ]
4.14,[oo  o o            o o   oo o         o o      o]
4.14,[o   o o  o     o    oo    o    o o  o   o       ]
4.14,[o o   o    o          o o  o o      o oo   o    ]
4.14,[ o    oo   o       o o   o      o o    o     oo ]
4.14,[ o   o       o   o   o  o oo  o            o oo ]
4.14,[   oo  oo          o  o  o    o   o        ooo  ]
4.14,[ o         oo  o   o       o o o o        o  oo ]
4.14,[          o o   oo  oo o      o oo     o   o    ]
4.14,[  o o      oo        oo o          o  oo oo     ]
4.14,[   o o     o    o oo  o           o   o   oo o  ]
4.14,[       o  oo  o o        oo   o     o  oo o     ]
4.14,[   o  oo  o  o  o             o  o oo  oo       ]
4.14,[    o  oo    o     o o  o  o   o   o      o   o ]
4.16,[ o        o  o o   oo      o   oo  o o  o       ]
4.16,[     o    ooo    o o       o  o o o  o        o ]
4.16,[   o o    o o   o        o  o o        oo o   o ]
4.16,[  o o     o  o   o    o   o  oo          o o   o]
4.16,[     o  o  oo         o oo     o   o      o  o o]
4.16,[       o  o  oo o o      oo  o      o  o  o     ]
4.16,[   o o    o     o       o  oo oo  o    o  o     ]
4.16,[ o  o         oo oo   o   o        oo     o    o]
4.16,[ o o      o o  o     o        o oo  o        oo ]
4.16,[   o o        o oo oo     o o       o    o    o ]
4.18,[      o o  o  o  o    o  o o   o   o o      o   ]
4.19,[  o   o o     o  o o   oo  o  o   o  o          ]
4.19,[  o        oo  o          o  ooo  o  o  o o     ]
4.19,[  o  o o   o       o   o o  o    o  o    o   o  ]
4.19,[      o   o   o o o o  o o      o     o    o  o ]
4.19,[       ooo  o o   o o         o o    o    o o   ]
4.19,[           o o   o   oooo  oo    o       o     o]
4.19,[  o   o   o           o oo  oo o    o o o       ]
4.19,[o o          o   o  o  o   o  o oo  o          o]
4.19,[    o     o o  oo  o       oo   o  o          oo]
4.19,[o    o   o  o     o o      o  o o         o  o o]
4.19,[    o o o o   o   o   o     o      o     o  oo  ]
4.19,[ oo        o o  o   o       o oo o   o  o       ]
4.19,[    o    o   o     o   o oo o     oo   o     o  ]
4.19,[    o  o   o     o      o  o   o  o o     o o o ]
4.19,[   o o  o o    o   o       o   o o o    o    o  ]
4.19,[  o       o   o     o  oo  o oo    o o    o     ]
4.19,[ o        o o  o o  o      o   ooo  oo          ]
4.19,[o  oo     o    o        o o   o    o o    o  o  ]
4.19,[ o       o    oo o oo        o o      o o   o   ]
4.19,[o  o     o    oo    o o     oo         o o o    ]
4.19,[o o  o      o        oo o o       oo   o      o ]
4.19,[   oo   o    oo          oo o       o o   o    o]
4.19,[ o  o  o  o   o           o  o o o o o       o  ]
4.19,[ o      o o  o       oooo          ooo     o    ]
4.19,[o  o         o   o    oo o   o     o      o oo  ]
4.19,[ o             o   oooo o o o           o  o  o ]
4.19,[     o oo  o      o  o          o oo o   o     o]
4.19,[ o   o o o        o  o      o  o o     o o    o ]
4.19,[  o  oo      o  oo          o      o oo o      o]
4.19,[    o    ooo o              o o  o   o   o oo   ]
4.19,[oo    o     o  o   o     oo o          o o   o  ]
4.19,[ o oo    o   o      o o    o     oo    o     o  ]
4.19,[    o o o   o  o  o     oo        oo   o      o ]
4.19,[  o   o o   o        oo   o    oo  oo     o     ]
4.19,[ o  o    o     o  o o      o   ooo           o o]
4.19,[  o   o    o   o  o  o  o o o      o    o      o]
4.19,[ o     o  oo  o      o     o    ooo   o        o]
4.19,[o o  o    o       o o  o   o    oo  o          o]
4.21,[o      o o  o o    o            oo  o oo     o  ]
4.21,[ o   oo o     o          o o     o    o  o  o  o]
4.21,[o      o o o     o  o       oo        o  o o  o ]
4.21,[ o oo              o   o o  ooo  o       o    o ]
4.21,[  o o      oo          o o o  o  o  o o  o      ]
4.21,[o o   o    o        o       o  o o     o oo  o  ]
4.21,[       o  o o   o o          oo o   oo    o    o]
4.23,[ o  o   o  o o o           o o  o  oo         o ]
4.24,[  o o        o   o    o   oooo   o o          o ]
4.24,[ o           o o  oo o   o        o  o o   o  o ]
4.24,[o   o    o  o   o o o  o          o  o     o  o ]
4.24,[      o  o o      oooo   o    o      o    o o   ]
4.24,[     o    oo     o    o  o  o  o  o  oo   o     ]
4.24,[    o   oo     oo           ooo  o    o   o o   ]
4.24,[o o          o   o o  oo   o      o oo     o    ]
4.24,[          o  oo o  o o   o    o oo          o o ]
4.24,[   o     oo   oo     o  o   o o  o o        o   ]
4.24,[  oo  o      o   o  o    o      o  oo  o       o]
4.24,[ oo       o    oo   oo        o     oo  o  o    ]
4.24,[o    o   o            o o  o o o o   o   o   o  ]
4.24,[oo  o  o         o   o    oo    o     oo     o  ]
4.24,[  o  o oo   o           o o  o o     o    oo    ]
4.24,[o  o          oo   oo   o o o        o  o      o]
4.24,[o  o   o    o o           o      o o  oo o o    ]
4.24,[    o   oo   o            oo o o o o o      o   ]
4.24,[ o  o   o         o  oo  o    o       o  oo   o ]
4.24,[  oo  oo         o  o             ooo  o o    o ]
4.24,[  o oo     o  o         o  o oo   o      o   o  ]
4.24,[     o  oo      o  o   o ooo           o    o o ]
4.24,[ o o      o    o   oo        oo   o    oo o     ]
4.24,[o   o o   o     o o    o   o  o          o  oo  ]
4.24,[     o  oo  o o    o    o      oo  o o       o  ]
4.24,[ o o         o      o  o o  oo oo o          o  ]
4.24,[o o oo            o  o    o   o o      oo  o    ]
4.24,[ o  o o        o o   o  o        o  oo     o o  ]
4.24,[ oo  o o o          o      o    o o       o  o o]
4.24,[ o o   o      o o  o  o       o o    o   o  o   ]
4.24,[      o o  o  o o      o    oo  o o      o     o]
4.26,[   o    o o o          oo   o o    o o o  o     ]
4.26,[        o o oo     o  o  o  o  oo     o     o   ]
4.26,[    oo  o      o o        o o  o  ooo        o  ]
4.26,[  o    o     o   oo  o          o o o  o   o   o]
4.26,[o o  o   o  o     o   o        oo   o o  o      ]
4.27,[o o      o   oo     o           oo    o    oo o ]
4.27,[ o     o ooo  o             o oo  o     o   o   ]
4.27,[  oo  o  o     o   o    o      o  o        oo  o]
4.27,[ o o        o  o o        oo  o    o     o o  o ]
4.27,[ o    o       o o ooo       o         o o   o  o]
4.27,[     o  ooo            o o oo     o    o   o o  ]
4.27,[o    o     oo o     o    o   o o  o       o    o]
4.27,[o   o o         o  oo      o  o   o     o     oo]
4.27,[o   o o         o  o o o   o    o       o  o   o]
4.27,[      o  o  o o o   o    o  o       o o   o    o]
4.27,[o    o  o      o   o o    o     o o   oo     o  ]
4.27,[o        o oo  o    o     o  o o o  o   o       ]
4.27,[ o     oo  o o      o         o   oo o    o   o ]
4.27,[  o o o         oo  o            o  o  oo    o o]
4.27,[o    o o         oo o      o      oooo o        ]
4.27,[          ooo  o  o o        o  o     oo oo     ]
4.27,[     o     o o  o  o     oo    o   o  o  o     o]
4.27,[o   o o       o  o o  o o      o   ooo          ]
4.27,[  o  o       o    o     o o o  oo  o  o       o ]
4.28,[ o  o     o  o      o o     o   o      oo   oo  ]
4.28,[ o   o  o     oo o         oooo o           o   ]
4.28,[o   o  o o          o    o   oo     o   o  o  o ]
4.28,[  o   o   o    o o    o   oo  o          o o o  ]
4.28,[    oo  o o     o   o  o     o   ooo         o  ]
4.29,[   o o       o   o      o o   oo  o   o   o o   ]
4.29,[   oo  o        ooo           o    oo    o   oo ]
4.29,[ oo  o   o            oo o   o     oo  o  o     ]
4.29,[     oo o      o o  oo          o o        oo o ]
4.29,[o    o o  o    o   o    o    o      o o   oo    ]
4.29,[o     o  o     o   o      o  o ooo   o       o  ]
4.30,[o o   o   o   o    o  o o o        o        o o ]
4.31,[o     o  o  o        oo o o    o   o  o o       ]
4.31,[ o  o   o    o o oo        o  o o   o          o]
4.32,[  o o  o    o o  oo              o   o  o   o  o]
4.32,[  o o    o  o         o  o     oo  o  o     o o ]
4.32,[       oo  o        oo   oo    oo    o   o  o   ]
4.32,[o   o        o oo o o         o oo         o   o]
4.32,[   oo   oo   o          o   o  o  o   oo  o     ]
4.32,[    o   o o  o     oo o       o o    o   o    o ]
4.32,[  o     o      o o o o  o         o ooo        o]
4.32,[ o o o     o        o  o o   oo  o       o o    ]
4.32,[    oo    oo     o     o   o    oo  oo         o]
4.32,[o  o          ooo o       o  oo      o    o  o  ]
4.32,[  o o  ooo         o o        oo        oo   o  ]
4.32,[  oo   o     o  o   o    ooo        o o       o ]
4.32,[  o     o   oo  o     o     o   o o   o     o  o]
4.32,[     o   o  o   o    o o        o  ooo     o   o]
4.32,[      o o  o o  oo o  o             o  o o   o  ]
4.32,[ o  oo   o      o   o  o    o   oo  o         o ]
4.32,[ o   oo o           o  o     o  o     o  o o   o]
4.33,[          o o  o o   o       o o  o o   o o  o  ]
4.33,[o    o   o   o    o  o o      o  o        oo o  ]
4.33,[o      o    o      o      o  oooo  o o  o       ]
4.33,[       o o o  o o o        o o oo    o      o   ]
4.33,[   o o   o    o o  o         o    o   o  oo   o ]
4.33,[ o o o      o o  o      o o   o     o     o  o  ]
4.33,[  o  o       o    o    o o o  o  o  o o  o      ]
4.33,[   o  o o     o  o        o o  oo o o          o]
4.33,[ o o   o      o   o         o  o oo o   o     o ]
4.33,[    o     o o     o    ooo  o o   o   o      o  ]
4.33,[o  o o       o       o   o   o o  o      o o  o ]
4.33,[  o o o  o o     o     oo   o      o   o   o    ]
4.36,[o o  oo       o         o    o    oo   o o    o ]
4.36,[ oo o   o            ooo   o            oo  o  o]
4.36,[ o  o        o o o  o      o     o    o o  o   o]
4.36,[o  o      o o  o          o o  oo  o o      o   ]
4.36,[o        o   o o  o o    o o  o o           oo  ]
4.36,[ o o o     o  o        o o o     o      o   oo  ]
4.36,[ o    o      o  o o   o   o  o o    o    o o    ]
4.36,[      o   oo  o oo     o  o        o o  o      o]
4.36,[ o         o  ooo   oo o o        o         o o ]
4.36,[          ooo   o      o oo  oo  o o          o ]
4.36,[ o   o  o   o     o    o      o ooo        o  o ]
4.36,[     o  o o o     o  o   o   ooo  o o           ]
4.36,[  o oo    o     o o  o         o o o      o    o]
4.36,[    o   o o  o     o  o o    o o        o   oo  ]
4.36,[  o  o   o     o  o        o  o  o o o  o      o]
4.36,[o     o  o  o     oo          o     oo ooo      ]
4.36,[ o o  o        o   o       o  oooo        o  o  ]
4.36,[o            o o ooo     o   o        o   o o  o]
4.36,[o    oo     o    oo        o oo oo            o ]
4.36,[    o     o o   ooo  o o          oo  o        o]
4.36,[o  o   o         o o   o o        oo   o    oo  ]
4.36,[   o o          o o  ooooo o           o   o    ]
4.36,[        oo  oo   o     o   oo        o  o o    o]
4.37,[  o     oo          o  o oo  oo          o  o o ]
4.37,[o  o     o  o  o o  o      o  o o   o      o    ]
4.37,[o   o o         o o    o  o  o            ooo  o]
4.37,[o   o o           oo   oo     o   oo  o     o   ]
4.37,[ o  o  o         oo   o   o   o    o      o oo  ]
4.38,[      o o     o  o o      o  o oo   o   o    o  ]
4.38,[     o    o o   o o o      o  o   o   o o     o ]
4.38,[o   o     oo  o      o o o  o      o  o    o    ]
4.38,[     o      o    oo  oo  o         o o o o  o   ]
4.38,[ o  o    o     o   oo   o     o  o    o    o  o ]
4.38,[   o  o        o o oo   o              o  ooo o ]
4.39,[ o o  oo         o  o     oo         oo  o     o]
4.39,[o o    o    o   o   o  o   o  o o o o           ]
4.39,[  o o     o o    o    o    o o oo     o o       ]
4.39,[o         o  ooo    o     o o   o  o          oo]
4.39,[    o  o  o     o o   o  o        o oo    o    o]
4.39,[ o  o  o    o o  oo                   o o o o  o]
4.39,[   o    o   o o  o      o oo   o  o   o       o ]
4.39,[ oo         oo   o  o o      o    o o  o   o    ]
4.39,[o    o o o        o  oo o   o      o   o    o   ]
4.39,[o  o  o      o o o         oo   oo    o        o]
4.39,[o o       o   o    o o  o    oo     o  o  o     ]
4.39,[o  o   o    oo  o      o         o oo  oo       ]
4.40,[    o     oo o  o      o o    o       ooo o     ]
4.41,[    o  oo   o o   o     o  o     o    o o     o ]
4.41,[ o         ooo  o   o o o     o           o o  o]
4.41,[o            o    ooo oo o  o       o   o    o  ]
4.41,[  o o o    o           oo o   o    oo o   o     ]
4.41,[ o o   o      o o  o     o    o           oooo  ]
4.41,[ o o           o   o  o o  o o            oo  oo]
4.41,[       o  o o  oo o         ooo         o  o o  ]
4.41,[ o      o    o   o    o   oo o o     o o o      ]
4.41,[ o      oo  oo o      o      o     o    o o  o  ]
4.41,[  o  oo   o   o  o        o o     ooo         o ]
4.41,[ o o   o      o       o  o o  o  o  o     o o   ]
4.41,[o o   o        o  o        ooo  o o           oo]
4.41,[ o o    o   o  o   o       o     o  o  o o    o ]
4.41,[   o o  oo  o         o    o   o     o  oo     o]
4.41,[ o        o    oo o  o        ooo o o          o]
4.41,[       ooo   oo o         ooo       o o o       ]
4.41,[ o   oo    o  o     o    o  o     o   o   o   o ]
4.41,[       oo o   o oo    o        o  oo o      o   ]
4.41,[    o o o         oo     o   o  oo    oo     o  ]
4.41,[       ooo       o o       o oooo         o  o  ]
4.43,[  o           ooo o   o    oo   o   oo    o     ]
4.43,[  o        o o oo o   o   o    oo   o       o   ]
4.44,[    o    oo  o o    o      o    o ooo          o]
